Sr,Question,Option 1,Option 2,Option 3,Correct Answer,Note
1,government - question 1,Option 1,Option 2,Option 3,Option 1,government note 1
2,government - question 2,Option 1,Option 2,Option 3,Option 2,government note 2
3,government - question 3,Option 1,Option 2,Option 3,Option 3,government note 3
4,government - question 4,Option 1,Option 2,Option 3,Option 1,government note 4
5,government - question 5,Option 1,Option 2,Option 3,Option 3,government note 5
6,government - question 6,Option 1,Option 2,Option 3,Option 2,government note 6
7,government - question 7,Option 1,Option 2,Option 3,Option 1,government note 7
8,government - question 8,Option 1,Option 2,Option 3,Option 1,government note 8
9,government - question 9,Option 1,Option 2,Option 3,Option 2,government note 9
10,government - question 10,Option 1,Option 2,Option 3,Option 3,government note 10
11,government - question 11,Option 1,Option 2,Option 3,Option 2,government note 11
12,government - question 12,Option 1,Option 2,Option 3,Option 1,government note 12
13,government - question 13,Option 1,Option 2,Option 3,Option 2,government note 13
14,government - question 14,Option 1,Option 2,Option 3,Option 1,government note 14
15,government - question 15,Option 1,Option 2,Option 3,Option 1,government note 15
16,government - question 16,Option 1,Option 2,Option 3,Option 3,government note 16
